Date : 2024-09-30 23:01:22
Directory : c:\Users\rfrjo\pothole-detection-website
Total : 394 files,  -834 codes, -2254 comments, -689 blanks, all -3777 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.599be672b367805b.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.611d7ddaf6eaaea5.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.64ce06dd8784dad5.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.69c39a029157b06c.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.6e17eea08daa4461.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.704ada73f32ffcfe.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.72e8be227edd0633.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.74bf66b145b7f31a.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.7553387ad1cc69a3.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.82bcae466be0d753.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.8ce78540ee6b936c.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.8d1022a00db06c96.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.90600ccfb467a9cb.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.91a2463bc649eb31.hot-update.js            | JavaScript     |          7 |         11 |          4 |         22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.93cccf4e68c8f5fa.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.94327a28070e9b59.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.949edd130e0d8b15.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
| c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.96ee604f28de5976.hot-update.js            | JavaScript     |         -7 |        -11 |         -4 |        -22 |
