"filename", "language", "JavaScript", "TypeScript JSX", "JSON", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1eaa88a0999b1364.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1f834d24ad74b4f6.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\1f9d5f14b6b613da.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\237a39fa8ef5c6e3.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\23a5b02801af775d.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\241e6549ff2bdfb9.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2437995ad6de6d44.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2447dcefc4d408c0.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2581eb8befa4fe57.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\25e2634e463d29f1.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\261582b8a4c03c81.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\26b9be174d75f607.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\27f6d42552c967a9.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2af20e4231425d85.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2bfff34f33985a5c.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2c8586f1d74b8d89.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2df75f17c78eeaf1.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2f8ca1b723b8efb7.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\2f9f2a69e2e50e87.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3075e1cd05d6febe.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\336c5b89b535e2de.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\35543311e684b41b.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\35bbf55acd2f0777.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\36277ac7fedd49ae.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\366f97835718ae55.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\36ecf676eed32104.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\3703bf15d620330d.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\382141e07fdcde74.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\38eee2056242a06d.webpack.hot-update.json", "JSON", 0, 0, -1, 0, 0, 0, 0, -1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\395562a4717d2f7f.webpack.hot-update.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 1
