"filename", "language", "JSON with Comments", "JSON", "Markdown", "JavaScript", "TypeScript JSX", "TypeScript", "CSS", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\998bbd00e52b9ad6.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9a3cb0f6c67b7b74.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9a469bb35965f49b.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9b177a6343dedfa5.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\9b7dfac18cc1ecab.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\a88718d08d250638.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\acceac5bfdb54fd8.webpack.hot-update.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.09f2854a07611b91.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.1f834d24ad74b4f6.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.949edd130e0d8b15.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.a88718d08d250638.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.b4935ee67ccb232c.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.d3f9d5d6accb4bbb.hot-update.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 32, 25, 98
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\dashboard\page.d4cfa901868645e2.hot-update.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 14, 7, 32
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.09f2854a07611b91.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.1f834d24ad74b4f6.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.949edd130e0d8b15.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.a88718d08d250638.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\detections\page.b4935ee67ccb232c.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.09f2854a07611b91.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.1f834d24ad74b4f6.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.949edd130e0d8b15.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.a88718d08d250638.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.b4935ee67ccb232c.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\help\page.d4cfa901868645e2.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
"c:\Users\rfrjo\pothole-detection-website\.next\static\webpack\app\layout.03f416adaa618df1.hot-update.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 11, 4, 22
