"filename", "language", "TypeScript", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "CSS", "TypeScript JSX", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\model\page.js", "JavaScript", 0, 563, 0, 0, 0, 0, 0, 0, 0, 341, 334, 1238
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\page.js", "JavaScript", 0, 366, 0, 0, 0, 0, 0, 0, 0, 224, 217, 807
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\signin\page.js", "JavaScript", 0, 317, 0, 0, 0, 0, 0, 0, 0, 194, 187, 698
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\signup\page.js", "JavaScript", 0, 317, 0, 0, 0, 0, 0, 0, 0, 194, 187, 698
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\spreadsheets\page.js", "JavaScript", 0, 533, 0, 0, 0, 0, 0, 0, 0, 323, 316, 1172
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\upload\page.js", "JavaScript", 0, 392, 0, 0, 0, 0, 0, 0, 0, 239, 232, 863
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\amp.js", "JavaScript", 0, 546, 0, 0, 0, 0, 0, 0, 0, 333, 325, 1204
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\main.js", "JavaScript", 0, 1045, 0, 0, 0, 0, 0, 0, 0, 636, 628, 2309
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\pages\_app.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\pages\_error.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\react-refresh.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 21, 13, 62
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\fallback\webpack.js", "JavaScript", 0, 1106, 0, 0, 0, 0, 0, 0, 0, 112, 0, 1218
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\main-app.js", "JavaScript", 0, 1070, 0, 0, 0, 0, 0, 0, 0, 650, 643, 2363
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\main.js", "JavaScript", 0, 1045, 0, 0, 0, 0, 0, 0, 0, 636, 628, 2309
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\pages\_app.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 4, 28
