"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "Markdown", "JSON", "HTML", "TypeScript JSX", "CSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\react-style-singleton.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\supports-color.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tailwind-merge.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\tslib.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\undici.js", "JavaScript", 476, 0, 0, 0, 0, 0, 0, 0, 0, 293, 286, 1055
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-callback-ref.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\Users\rfrjo\pothole-detection-website\.next\server\vendor-chunks\use-sidecar.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\Users\rfrjo\pothole-detection-website\.next\server\webpack-runtime.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 220
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app-pages-internals.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 41, 34, 138
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\_not-found\page.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 39
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\dashboard\page.js", "JavaScript", 696, 0, 0, 0, 0, 0, 0, 0, 0, 422, 415, 1533
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\detections\page.js", "JavaScript", 1626, 0, 0, 0, 0, 0, 0, 0, 0, 980, 973, 3579
"c:\Users\rfrjo\pothole-detection-website\.next\static\chunks\app\help\page.js", "JavaScript", 278, 0, 0, 0, 0, 0, 0, 0, 0, 170, 163, 611
